Order_ID,Order_Date,Ship_Date,Ship_Mode,Order_Priority,Customer_ID,Customer_Name,Segment,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount,Sales,Profit,Payment_Method,Returned
ORD-2023-66057,2023-12-10,2023-12-15,Standard Class,Low,CUST-2232,Omar Allen,Home Office,Port Susan,Colorado,11864,South,PROD-TEC-7194416,Technology,Phones,Nothing Phones,480.74,10,0.2,3845.92,838.94,Wire Transfer,No
ORD-2017-15229,2024-02-11,2024-02-14,Second Class,Medium,CUST-2684,Michael Anderson,Corporate,East David,Colorado,55936,West,PROD-TEC-4971793,Technology,Accessories,Success Accessories,289.63,14,0.05,3852.08,704.39,Credit Card,No
ORD-1988-53540,2023-07-13,2023-07-20,Same Day,Medium,CUST-5371,Taylor Blake,Consumer,Elizabethfort,Colorado,91480,North,PROD-OFF-8896868,Office Supplies,Labels,On Labels,107.79,4,0.2,344.93,56.08,PayPal,No
ORD-1988-13101,2022-02-10,2022-02-16,Second Class,Critical,CUST-6378,Cindy Williamson,Corporate,North Brandontown,Maine,52171,North,PROD-OFF-9546409,Office Supplies,Art,Middle Art,342.96,7,0.3,1680.5,81.07,Credit Card,No
ORD-2014-44237,2025-11-26,2025-11-28,First Class,Low,CUST-2776,Russell Ortiz,Home Office,Martinezview,Illinois,94645,West,PROD-OFF-6262632,Office Supplies,Paper,Decide Paper,307.04,7,0.3,1504.5,165.22,PayPal,No
ORD-2025-15817,2024-12-20,2024-12-26,Same Day,Low,CUST-9518,Kelly Davis,Home Office,South Kelly,South Dakota,20120,South,PROD-OFF-2173965,Office Supplies,Binders,After Binders,461.18,11,0.3,3551.09,188.8,Credit Card,No
ORD-1992-76469,2025-06-01,2025-06-04,Same Day,High,CUST-7592,Jesus Malone,Home Office,Smithton,Hawaii,91654,East,PROD-TEC-4218542,Technology,Accessories,Impact Accessories,535.8199999999999,7,0.2,3000.59,242.06,PayPal,No
ORD-1974-84593,2022-11-03,2022-11-06,Same Day,Low,CUST-5978,Steven Castillo,Corporate,Lake Lisafurt,Arizona,95699,South,PROD-OFF-6406444,Office Supplies,Appliances,Design Appliances,226.48,8,0.05,1721.25,448.91,PayPal,No
ORD-2006-47196,2024-09-30,2024-10-05,First Class,Low,CUST-4848,Heidi Fernandez,Home Office,North Julie,Minnesota,95587,East,PROD-FUR-3472189,Furniture,Chairs,Often Chairs,32.64,1,0.2,26.11,2.54,Credit Card,No
ORD-1970-64321,2022-07-07,2022-07-13,Second Class,Critical,CUST-9099,Jennifer Bailey,Corporate,Jamesstad,Hawaii,24216,South,PROD-FUR-2788238,Furniture,Bookcases,Simply Bookcases,218.32,13,0.05,2696.25,536.92,Cash,Yes
ORD-2012-83060,2024-01-23,2024-01-25,Standard Class,Critical,CUST-3184,Sandra Rodriguez,Corporate,Heatherbury,Oklahoma,29881,East,PROD-OFF-9468772,Office Supplies,Appliances,Happy Appliances,416.98,7,0.3,2043.2,31.57,PayPal,No
ORD-2016-68991,2026-01-12,2026-01-15,Second Class,High,CUST-9540,Kevin Smith,Corporate,New Jennifer,Maine,75534,South,PROD-OFF-2299954,Office Supplies,Binders,Stage Binders,150.01,12,0.1,1620.11,419.12,Credit Card,No
ORD-1971-29769,2025-11-25,2025-11-27,Same Day,Medium,CUST-4505,Christina Lynn,Consumer,Phyllisbury,Minnesota,11070,West,PROD-OFF-8816912,Office Supplies,Art,Knowledge Art,40.51,7,0.2,226.86,34.63,Credit Card,No
ORD-2011-59857,2026-01-01,2026-01-05,Standard Class,High,CUST-5892,Sarah Maxwell,Corporate,Whiteshire,Massachusetts,83438,West,PROD-TEC-9191131,Technology,Accessories,Quite Accessories,343.74,4,0.2,1099.97,267.01,Wire Transfer,No
ORD-1991-31632,2025-02-20,2025-02-27,Same Day,Medium,CUST-9751,Jeffrey Cruz,Consumer,Aguilarberg,Louisiana,14664,West,PROD-TEC-2408404,Technology,Phones,Drug Phones,420.02,11,0.2,3696.18,756.12,Wire Transfer,No
ORD-1971-52906,2023-07-08,2023-07-10,Same Day,High,CUST-6529,Christian Austin,Corporate,North Yolanda,California,56279,East,PROD-OFF-2374158,Office Supplies,Art,Second Art,19.5,8,0.3,109.2,13.97,Wire Transfer,No
ORD-2021-95215,2024-11-01,2024-11-02,Standard Class,Low,CUST-5051,Kevin Wilkinson,Consumer,South Michael,Rhode Island,26660,North,PROD-TEC-5002120,Technology,Accessories,Guy Accessories,442.03999999999996,3,0.0,1326.12,380.87,PayPal,No
ORD-2001-43586,2024-12-17,2024-12-24,First Class,Medium,CUST-2876,Howard Vaughn,Consumer,Sandersstad,New Hampshire,52405,East,PROD-FUR-6233774,Furniture,Bookcases,Him Bookcases,341.9,10,0.2,2735.2,412.57,PayPal,No
ORD-2001-87607,2025-11-09,2025-11-15,Second Class,Low,CUST-5941,Matthew Kennedy,Home Office,Mcdonaldmouth,South Dakota,61823,North,PROD-TEC-6825112,Technology,Phones,Better Phones,419.90999999999997,9,0.1,3401.27,1081.64,Wire Transfer,Yes
ORD-1971-65057,2023-05-28,2023-06-04,Same Day,Low,CUST-8102,Olivia Mcclain,Corporate,New Carlosbury,Kentucky,46485,West,PROD-TEC-8306261,Technology,Accessories,Trip Accessories,569.56,3,0.1,1537.81,302.12,Cash,No
ORD-1995-67091,2022-05-23,2022-05-30,First Class,High,CUST-5022,Jill Estrada,Consumer,South Zachary,New Hampshire,05380,East,PROD-OFF-8796514,Office Supplies,Storage,Town Storage,309.06,10,0.2,2472.48,410.19,Cash,No
ORD-1987-33834,2022-12-13,2022-12-17,Second Class,High,CUST-5232,Veronica Padilla,Corporate,South Tylerburgh,New Mexico,81574,East,PROD-TEC-1170307,Technology,Copiers,Majority Copiers,674.55,9,0.0,6070.95,2135.33,Cash,No
ORD-2005-82768,2022-12-12,2022-12-19,Second Class,Critical,CUST-9041,Janet Bush,Corporate,Markland,Maine,49632,North,PROD-FUR-4717770,Furniture,Tables,Quickly Tables,348.98,7,0.1,2198.57,408.47,Wire Transfer,No
ORD-1979-82544,2022-04-19,2022-04-24,First Class,Critical,CUST-6419,Michelle Macdonald,Corporate,Campbellstad,Tennessee,28094,West,PROD-OFF-5217853,Office Supplies,Art,Picture Art,69.12,4,0.05,262.66,79.32,PayPal,No
ORD-1980-38361,2022-04-08,2022-04-14,Same Day,High,CUST-9595,Mrs. Ann Miller,Home Office,West Eric,Oregon,35089,East,PROD-FUR-5970190,Furniture,Chairs,Purpose Chairs,186.83,4,0.1,672.59,222.08,PayPal,No
ORD-2007-15965,2023-05-10,2023-05-11,First Class,Medium,CUST-9042,Courtney Tanner,Consumer,West Jenniferbury,Pennsylvania,85395,North,PROD-TEC-8875173,Technology,Copiers,Practice Copiers,425.83000000000004,8,0.05,3236.31,534.5,Wire Transfer,No
ORD-1992-24953,2024-08-13,2024-08-20,Standard Class,Critical,CUST-9056,David Patel,Consumer,New Donna,Kentucky,57401,North,PROD-FUR-6097514,Furniture,Chairs,Reality Chairs,497.02,2,0.0,994.04,286.67,Cash,No
ORD-2004-88135,2024-06-28,2024-07-05,Second Class,Critical,CUST-8381,Jack Barker,Corporate,Greenshire,California,08064,East,PROD-TEC-6123430,Technology,Machines,Myself Machines,514.3,10,0.3,3600.1,-473.27,Credit Card,No
ORD-2009-91987,2025-06-27,2025-06-29,First Class,Low,CUST-3573,Mark Alvarado,Consumer,East Lisastad,New Hampshire,62693,South,PROD-TEC-3626181,Technology,Phones,Can Phones,410.16999999999996,1,0.3,287.12,2.47,Credit Card,No
ORD-1980-47762,2025-03-17,2025-03-23,First Class,Critical,CUST-2166,Kimberly Kim,Home Office,Walterside,Mississippi,73070,South,PROD-OFF-4318855,Office Supplies,Paper,Worry Paper,66.24,7,0.05,440.5,102.23,Wire Transfer,No
ORD-1999-19359,2024-01-15,2024-01-16,Second Class,High,CUST-5728,Taylor Booth,Corporate,Reneeville,Arkansas,27952,North,PROD-OFF-6101803,Office Supplies,Paper,Subject Paper,207.23,12,0.1,2238.08,497.12,Cash,No
ORD-1994-20543,2022-05-30,2022-06-04,Standard Class,Critical,CUST-6280,Steve Doyle,Home Office,Jamesstad,New Mexico,77849,East,PROD-FUR-4840714,Furniture,Bookcases,Accept Bookcases,419.62,11,0.3,3231.07,-80.43,Credit Card,No
ORD-1994-85529,2025-11-16,2025-11-17,Second Class,Critical,CUST-9502,Michael Williamson,Home Office,Wrightport,Kansas,40718,West,PROD-OFF-8312936,Office Supplies,Storage,Side Storage,408.98,11,0.0,4498.78,1376.62,Cash,No
ORD-2012-52081,2024-06-05,2024-06-11,Standard Class,Medium,CUST-6403,Thomas Garrett,Corporate,East Sarah,Pennsylvania,69941,West,PROD-OFF-7718473,Office Supplies,Paper,Blue Paper,382.64,14,0.0,5356.96,1655.49,Wire Transfer,No
ORD-2024-52372,2022-05-06,2022-05-07,Same Day,Low,CUST-9889,Stanley Christian,Corporate,Jamestown,Virginia,56488,West,PROD-FUR-9697969,Furniture,Chairs,Stop Chairs,315.09,6,0.2,1512.43,141.64,Credit Card,No
ORD-2025-45003,2024-06-22,2024-06-27,Second Class,High,CUST-8178,Tyler Brennan,Home Office,Christianbury,Missouri,34317,West,PROD-FUR-5014745,Furniture,Bookcases,Other Bookcases,87.61,12,0.3,735.92,102.26,Cash,No
ORD-1996-39451,2023-06-14,2023-06-21,Standard Class,Critical,CUST-2924,Taylor Ward,Home Office,Port Tonyville,Rhode Island,45370,South,PROD-OFF-5896624,Office Supplies,Paper,Also Paper,355.65,9,0.2,2560.68,105.8,Cash,No
ORD-2011-69871,2022-07-23,2022-07-28,Second Class,Critical,CUST-4122,Christopher West,Home Office,North Debraborough,Idaho,72824,South,PROD-FUR-7961578,Furniture,Tables,Onto Tables,467.78,6,0.3,1964.68,130.69,Credit Card,No
ORD-2010-49132,2024-06-26,2024-07-03,Same Day,Medium,CUST-8316,Elizabeth Watts,Home Office,North Timothytown,New York,68458,West,PROD-OFF-7328534,Office Supplies,Art,Military Art,467.1,8,0.05,3549.96,574.89,PayPal,No
ORD-1977-60196,2024-06-05,2024-06-07,Same Day,Low,CUST-6213,Michael Hicks,Home Office,South Jonathan,Illinois,11627,West,PROD-TEC-7477326,Technology,Machines,Dream Machines,598.27,11,0.05,6251.92,1651.39,Credit Card,No
ORD-1996-75836,2025-01-14,2025-01-19,First Class,Low,CUST-8213,Nathaniel Sparks,Consumer,Lisaland,North Dakota,58050,West,PROD-FUR-7878299,Furniture,Chairs,Close Chairs,330.84,14,0.05,4400.17,1551.8,Wire Transfer,No
ORD-1998-91691,2024-03-21,2024-03-27,Same Day,Low,CUST-6383,Samantha Martinez,Home Office,Greenview,Indiana,94725,West,PROD-OFF-9186400,Office Supplies,Paper,Cultural Paper,275.1,14,0.3,2695.98,332.44,Wire Transfer,No
ORD-1985-21846,2022-02-08,2022-02-12,Standard Class,Low,CUST-8269,Sergio Bradley,Consumer,Carlsonstad,Indiana,30830,East,PROD-FUR-6442103,Furniture,Bookcases,When Bookcases,37.5,13,0.1,438.75,109.7,PayPal,No
ORD-2001-79621,2023-02-23,2023-02-27,Second Class,Medium,CUST-3868,Brandon Wilson,Consumer,West Melissa,Massachusetts,89098,West,PROD-TEC-9349470,Technology,Accessories,Technology Accessories,495.75,15,0.05,7064.44,1916.84,Wire Transfer,No
ORD-2002-43466,2025-01-12,2025-01-18,Standard Class,Critical,CUST-5712,Jacob Jensen,Home Office,Jacobsfurt,Vermont,44383,South,PROD-FUR-6797629,Furniture,Furnishings,Style Furnishings,156.59,10,0.2,1252.72,96.99,Cash,No
ORD-1972-36111,2023-01-08,2023-01-12,Same Day,Low,CUST-4886,Paul Castillo,Corporate,Lawrenceport,Indiana,02144,East,PROD-TEC-5953150,Technology,Copiers,However Copiers,689.19,1,0.2,551.35,100.0,Credit Card,No
ORD-1990-75107,2025-04-21,2025-04-28,First Class,Medium,CUST-6772,Brandon Sutton,Consumer,Medinaland,Vermont,72891,South,PROD-TEC-3294774,Technology,Copiers,Choice Copiers,257.61,11,0.0,2833.71,958.4,Cash,Yes
ORD-2002-85965,2023-06-23,2023-06-26,Second Class,Low,CUST-5835,Amy Johnson,Corporate,Brianland,North Carolina,00571,West,PROD-FUR-3217273,Furniture,Chairs,Show Chairs,274.31,13,0.1,3209.43,691.2,Wire Transfer,No
ORD-2021-43681,2025-04-22,2025-04-29,Same Day,High,CUST-6549,Craig Harper,Consumer,West Frederickport,Washington,49697,West,PROD-FUR-4785186,Furniture,Chairs,Together Chairs,341.4,14,0.2,3823.68,31.29,Wire Transfer,No
ORD-2018-61717,2024-04-08,2024-04-09,First Class,Low,CUST-8451,Amy Keller,Corporate,East Ryan,North Dakota,95617,East,PROD-TEC-7232293,Technology,Machines,Pay Machines,540.6700000000001,2,0.2,865.07,210.86,Wire Transfer,No
ORD-1994-39015,2025-11-21,2025-11-27,Standard Class,Critical,CUST-5951,Julie Gardner,Home Office,East Charleshaven,Vermont,79479,West,PROD-FUR-1760793,Furniture,Chairs,Leave Chairs,159.14,1,0.2,127.31,28.13,PayPal,No
ORD-2003-27781,2023-10-31,2023-11-04,Same Day,High,CUST-9850,Amy Rocha,Corporate,Pattersonhaven,North Carolina,14894,South,PROD-OFF-2661307,Office Supplies,Paper,Adult Paper,249.78,14,0.2,2797.54,42.63,Wire Transfer,Yes
ORD-2007-58566,2024-01-12,2024-01-14,Same Day,Critical,CUST-4868,Morgan Myers,Corporate,West Ryanchester,Georgia,35130,North,PROD-TEC-7017548,Technology,Copiers,Cold Copiers,405.09000000000003,1,0.05,384.84,63.34,Cash,No
ORD-2006-96870,2022-06-21,2022-06-23,Standard Class,Low,CUST-6464,Benjamin Boyd,Consumer,Maysville,Alabama,30291,South,PROD-TEC-2151087,Technology,Accessories,Upon Accessories,584.9300000000001,14,0.05,7779.57,1905.78,PayPal,No
ORD-1971-29340,2022-02-07,2022-02-14,Standard Class,High,CUST-3370,Justin Jackson,Consumer,Bellville,Michigan,57523,East,PROD-FUR-1432519,Furniture,Bookcases,Avoid Bookcases,17.28,3,0.05,49.25,12.04,Credit Card,No
ORD-1972-44782,2025-01-27,2025-01-28,Second Class,Critical,CUST-9619,Randall Lawson,Consumer,South Douglas,Alaska,04305,North,PROD-OFF-7074006,Office Supplies,Binders,Draw Binders,300.9,9,0.2,2166.48,268.73,Credit Card,No
ORD-1985-49535,2023-07-02,2023-07-06,Standard Class,Low,CUST-8847,Laura Young,Corporate,Lake Jonathanburgh,Wyoming,67611,West,PROD-TEC-9225346,Technology,Phones,Under Phones,655.75,12,0.0,7869.0,1732.33,Wire Transfer,No
ORD-2011-29442,2024-08-31,2024-09-01,Second Class,High,CUST-9984,Christopher Kelly,Home Office,Dawnhaven,California,57283,East,PROD-OFF-9901266,Office Supplies,Appliances,She Appliances,232.32,5,0.3,813.12,16.22,Credit Card,No
ORD-2008-38183,2022-10-10,2022-10-14,Same Day,Medium,CUST-7779,Brent Johnson,Corporate,Reynoldschester,Washington,82556,West,PROD-OFF-2595275,Office Supplies,Binders,Look Binders,219.11,6,0.1,1183.19,295.98,PayPal,No
ORD-2014-18799,2024-07-28,2024-07-29,Standard Class,Low,CUST-8075,Kelly Davis,Consumer,New Jerry,Virginia,14850,East,PROD-FUR-6530541,Furniture,Bookcases,Decade Bookcases,69.89,11,0.1,691.91,96.31,Cash,Yes
ORD-2010-47700,2024-08-19,2024-08-24,First Class,High,CUST-2697,Michele Byrd,Home Office,Christinafort,South Carolina,61821,South,PROD-FUR-4762204,Furniture,Furnishings,Push Furnishings,63.03,14,0.3,617.69,23.37,Wire Transfer,No
ORD-1995-39643,2024-03-26,2024-04-02,Same Day,Low,CUST-5381,Rachel Moore,Consumer,North Diana,Georgia,69933,South,PROD-OFF-6183902,Office Supplies,Paper,Question Paper,176.51,15,0.0,2647.65,963.0,PayPal,No
ORD-2007-96159,2024-09-03,2024-09-07,Standard Class,Medium,CUST-1502,Laura Rojas,Consumer,South Lisaton,Kentucky,32502,South,PROD-OFF-8610913,Office Supplies,Binders,Now Binders,87.13,6,0.1,470.5,81.39,Credit Card,Yes
ORD-2002-30392,2022-09-14,2022-09-16,Standard Class,Low,CUST-5458,Tabitha Thomas,Corporate,North Heidimouth,Wisconsin,97664,West,PROD-OFF-8416270,Office Supplies,Appliances,Actually Appliances,143.85,7,0.3,704.87,77.77,Cash,No
ORD-1978-47125,2023-08-10,2023-08-16,Same Day,High,CUST-1744,Scott Bailey,Consumer,Port Alan,Vermont,55658,West,PROD-TEC-1128967,Technology,Phones,Operation Phones,357.7,4,0.05,1359.26,281.2,Wire Transfer,No
ORD-2008-53007,2025-04-23,2025-04-24,Standard Class,Critical,CUST-8055,Ronald Smith,Consumer,East Brianchester,Ohio,91904,South,PROD-OFF-4860617,Office Supplies,Appliances,Case Appliances,283.77,9,0.1,2298.54,729.36,Credit Card,No
ORD-1995-12456,2023-10-29,2023-11-02,Standard Class,High,CUST-8033,Benjamin Richardson,Home Office,South Cynthia,Indiana,89896,West,PROD-TEC-5857259,Technology,Machines,Step Machines,408.47,2,0.1,735.25,217.0,Cash,No
ORD-1988-21551,2025-11-20,2025-11-24,Standard Class,Medium,CUST-8138,Andrew Mccarty,Home Office,South Sergio,Hawaii,83253,West,PROD-TEC-7639863,Technology,Phones,White Phones,362.03,14,0.1,4561.58,1295.92,PayPal,No
ORD-1974-76910,2023-07-22,2023-07-28,Standard Class,Medium,CUST-6724,Jonathon Johnson,Corporate,Geoffreyborough,Texas,61209,South,PROD-FUR-3456926,Furniture,Bookcases,Within Bookcases,106.66,5,0.3,373.31,37.02,Credit Card,No
ORD-2006-92306,2023-10-11,2023-10-15,Same Day,Critical,CUST-6295,Karen Norman,Home Office,North Jonathan,North Carolina,12095,East,PROD-FUR-2145653,Furniture,Furnishings,Short Furnishings,226.68,8,0.1,1632.1,255.21,Credit Card,No
ORD-2023-76497,2022-11-19,2022-11-20,First Class,Critical,CUST-8404,Emily Robinson,Consumer,New Jenniferberg,Texas,79973,North,PROD-OFF-2287332,Office Supplies,Art,Sell Art,433.48,11,0.0,4768.28,1320.81,Cash,No
ORD-1989-86064,2024-07-17,2024-07-22,Standard Class,Critical,CUST-4084,Laura Hill,Corporate,Wrightchester,Florida,77971,West,PROD-TEC-2038068,Technology,Accessories,Painting Accessories,260.72,8,0.1,1877.18,215.92,Credit Card,No
ORD-1988-94689,2026-01-07,2026-01-09,Standard Class,Medium,CUST-8172,Brent Juarez,Corporate,Padillatown,Illinois,10414,South,PROD-OFF-5746166,Office Supplies,Art,Research Art,210.3,7,0.1,1324.89,241.75,Credit Card,No
ORD-1979-18639,2025-11-29,2025-12-02,Standard Class,Critical,CUST-5655,James Dunn,Corporate,Romanfort,Louisiana,69522,South,PROD-OFF-3372774,Office Supplies,Labels,Create Labels,181.41,15,0.2,2176.92,474.05,Credit Card,No
ORD-1991-83259,2023-06-28,2023-07-02,First Class,Medium,CUST-9624,Charles Griffin,Consumer,Lake Isabella,New York,22545,West,PROD-TEC-1305857,Technology,Copiers,Law Copiers,361.34000000000003,6,0.05,2059.64,610.64,Cash,No
ORD-2008-39693,2022-08-02,2022-08-04,Second Class,Low,CUST-5846,Danielle Brown,Consumer,Ianburgh,New Jersey,43900,North,PROD-TEC-3198638,Technology,Copiers,I Copiers,394.59000000000003,10,0.05,3748.61,1238.34,PayPal,No
ORD-2018-15726,2025-07-20,2025-07-24,First Class,Medium,CUST-8277,Jon Moore,Home Office,New Austinview,Alaska,96994,East,PROD-TEC-4925917,Technology,Machines,Happen Machines,327.19,9,0.2,2355.77,56.55,PayPal,No
ORD-2004-98907,2025-11-27,2025-12-02,Same Day,Critical,CUST-5616,Cynthia Shaffer,Corporate,Kennethside,Connecticut,92806,West,PROD-FUR-3321942,Furniture,Chairs,Would Chairs,132.5,14,0.2,1484.0,46.7,Credit Card,No
ORD-1979-26341,2025-05-30,2025-06-02,Standard Class,Medium,CUST-5469,Steven Wall,Corporate,Lake Kristafurt,Indiana,47426,South,PROD-OFF-4725179,Office Supplies,Labels,Skin Labels,231.05,14,0.1,2911.23,368.45,Cash,Yes
ORD-2025-61964,2024-01-06,2024-01-11,First Class,Medium,CUST-7326,Pamela Fox,Consumer,North Jennatown,New Mexico,17823,East,PROD-FUR-6346644,Furniture,Bookcases,None Bookcases,58.55,15,0.1,790.43,124.47,PayPal,Yes
ORD-2022-47601,2025-08-01,2025-08-08,Same Day,Medium,CUST-8685,Jennifer Thomas,Corporate,Roseton,Nebraska,38268,North,PROD-FUR-5293691,Furniture,Bookcases,Majority Bookcases,419.13,4,0.3,1173.56,-147.61,Cash,No
ORD-1994-47762,2023-11-22,2023-11-24,First Class,Low,CUST-1782,Samuel Johns,Consumer,South Ann,Connecticut,63793,West,PROD-TEC-2053729,Technology,Machines,Enjoy Machines,619.98,2,0.2,991.97,100.01,Credit Card,No
ORD-1996-85372,2024-04-23,2024-04-25,Second Class,High,CUST-8032,Robin Parsons,Consumer,Dukeport,New Mexico,37742,East,PROD-FUR-4142605,Furniture,Furnishings,Recently Furnishings,337.43,11,0.3,2598.21,-352.36,Credit Card,No
ORD-1991-81313,2023-04-06,2023-04-11,Standard Class,Critical,CUST-8702,Cassandra Riggs,Consumer,Port Zachary,New Jersey,74049,West,PROD-OFF-1272499,Office Supplies,Art,First Art,396.37,6,0.1,2140.4,598.78,Credit Card,No
ORD-1996-53583,2022-03-14,2022-03-16,Standard Class,High,CUST-9945,Anthony Green,Corporate,Josephshire,Kentucky,56420,South,PROD-TEC-9028420,Technology,Machines,Raise Machines,299.32,11,0.05,3127.89,1110.83,Cash,Yes
ORD-1993-48462,2024-06-25,2024-06-27,Standard Class,Medium,CUST-1686,Shelly Cherry,Corporate,West Johnland,Nebraska,61265,East,PROD-TEC-8942330,Technology,Machines,Situation Machines,227.94,5,0.05,1082.71,333.68,Credit Card,No
